date,weekday
2017-05-30,Tuesday
2017-05-31,Wednesday
2017-06-01,Thursday
2017-06-02,Friday
2017-06-05,Monday
2017-06-07,Wednesday
2017-06-08,Thursday
2017-06-09,Friday
2017-06-12,Monday
2017-06-13,Tuesday
2017-06-14,Wednesday
2017-06-15,Thursday
2017-06-16,Friday
2017-06-19,Monday
2017-06-20,Tuesday
2017-06-21,Wednesday
2017-06-22,Thursday
2017-06-23,Friday
2017-06-26,Monday
2017-06-27,Tuesday
2017-06-28,Wednesday
2017-06-29,Thursday
2017-06-30,Friday
2017-07-03,Monday
2017-07-04,Tuesday
2017-07-05,Wednesday
2017-07-06,Thursday
2017-07-07,Friday
2017-07-10,Monday
2017-07-11,Tuesday
2017-07-12,Wednesday
2017-07-13,Thursday
2017-07-14,Friday
2017-07-17,Monday
2017-07-18,Tuesday
2017-07-19,Wednesday
2017-07-20,Thursday
2017-07-21,Friday
2017-07-24,Monday
2017-07-25,Tuesday
2017-07-26,Wednesday
2017-07-27,Thursday
2017-07-28,Friday
2017-07-31,Monday
2017-08-01,Tuesday
2017-08-02,Wednesday
2017-08-03,Thursday
2017-08-04,Friday
2017-08-07,Monday
2017-08-08,Tuesday
2017-08-09,Wednesday
2017-08-10,Thursday
2017-08-11,Friday
2017-08-14,Monday
2017-08-16,Wednesday
2017-08-17,Thursday
2017-08-18,Friday
2017-08-21,Monday
2017-08-22,Tuesday
2017-08-23,Wednesday
2017-08-24,Thursday
2017-08-25,Friday
2017-08-28,Monday
2017-08-29,Tuesday
2017-08-30,Wednesday
2017-08-31,Thursday
2017-09-01,Friday
2017-09-04,Monday
2017-09-05,Tuesday
2017-09-06,Wednesday
2017-09-07,Thursday
2017-09-08,Friday
2017-09-11,Monday
2017-09-12,Tuesday
2017-09-13,Wednesday
2017-09-14,Thursday
2017-09-15,Friday
2017-09-18,Monday
2017-09-19,Tuesday
2017-09-20,Wednesday
2017-09-21,Thursday
2017-09-22,Friday
2017-09-25,Monday
2017-09-26,Tuesday
2017-09-27,Wednesday
2017-09-28,Thursday
2017-09-29,Friday
2017-10-10,Tuesday
2017-10-11,Wednesday
2017-10-12,Thursday
2017-10-13,Friday
2017-10-16,Monday
2017-10-17,Tuesday
2017-10-18,Wednesday
2017-10-19,Thursday
2017-10-20,Friday
2017-10-23,Monday
2017-10-24,Tuesday
2017-10-25,Wednesday
2017-10-26,Thursday
2017-10-27,Friday
2017-10-30,Monday
2017-10-31,Tuesday
2017-11-01,Wednesday
2017-11-02,Thursday
2017-11-03,Friday
2017-11-06,Monday
2017-11-07,Tuesday
2017-11-08,Wednesday
2017-11-09,Thursday
2017-11-10,Friday
2017-11-13,Monday
2017-11-14,Tuesday
2017-11-15,Wednesday
2017-11-16,Thursday
2017-11-17,Friday
2017-11-20,Monday
2017-11-21,Tuesday
2017-11-22,Wednesday
2017-11-23,Thursday
2017-11-24,Friday
2017-11-27,Monday
2017-11-28,Tuesday
2017-11-29,Wednesday
2017-11-30,Thursday
2017-12-01,Friday
2017-12-04,Monday
2017-12-05,Tuesday
2017-12-06,Wednesday
2017-12-07,Thursday
2017-12-08,Friday
2017-12-11,Monday
2017-12-12,Tuesday
2017-12-13,Wednesday
2017-12-14,Thursday
2017-12-15,Friday
2017-12-18,Monday
2017-12-19,Tuesday
2017-12-20,Wednesday
2017-12-21,Thursday
2017-12-22,Friday
2017-12-26,Tuesday
2017-12-27,Wednesday
2017-12-28,Thursday
2018-01-02,Tuesday
2018-01-03,Wednesday
2018-01-04,Thursday
2018-01-05,Friday
2018-01-08,Monday
2018-01-09,Tuesday
2018-01-10,Wednesday
2018-01-11,Thursday
2018-01-12,Friday
2018-01-15,Monday
2018-01-16,Tuesday
2018-01-17,Wednesday
2018-01-18,Thursday
2018-01-19,Friday
2018-01-22,Monday
2018-01-23,Tuesday
2018-01-24,Wednesday
2018-01-25,Thursday
2018-01-26,Friday
2018-01-29,Monday
2018-01-30,Tuesday
2018-01-31,Wednesday
2018-02-01,Thursday
2018-02-02,Friday
2018-02-05,Monday
2018-02-06,Tuesday
2018-02-07,Wednesday
2018-02-08,Thursday
2018-02-09,Friday
2018-02-12,Monday
2018-02-13,Tuesday
2018-02-14,Wednesday
2018-02-19,Monday
2018-02-20,Tuesday
2018-02-21,Wednesday
2018-02-22,Thursday
2018-02-23,Friday
2018-02-26,Monday
2018-02-27,Tuesday
2018-02-28,Wednesday
2018-03-02,Friday
2018-03-05,Monday
2018-03-06,Tuesday
2018-03-07,Wednesday
2018-03-08,Thursday
2018-03-09,Friday
2018-03-12,Monday
2018-03-13,Tuesday
2018-03-14,Wednesday
2018-03-15,Thursday
2018-03-16,Friday
2018-03-19,Monday
2018-03-20,Tuesday
2018-03-21,Wednesday
2018-03-22,Thursday
2018-03-23,Friday
2018-03-26,Monday
2018-03-27,Tuesday
2018-03-28,Wednesday
2018-03-29,Thursday
2018-03-30,Friday
2018-04-02,Monday
2018-04-03,Tuesday
2018-04-04,Wednesday
2018-04-05,Thursday
2018-04-06,Friday
2018-04-09,Monday
2018-04-10,Tuesday
2018-04-11,Wednesday
2018-04-12,Thursday
2018-04-13,Friday
2018-04-16,Monday
2018-04-17,Tuesday
2018-04-18,Wednesday
2018-04-19,Thursday
2018-04-20,Friday
2018-04-23,Monday
2018-04-24,Tuesday
2018-04-25,Wednesday
2018-04-26,Thursday
2018-04-27,Friday
2018-04-30,Monday
2018-05-02,Wednesday
2018-05-03,Thursday
2018-05-04,Friday
2018-05-08,Tuesday
2018-05-09,Wednesday
2018-05-10,Thursday
2018-05-11,Friday
2018-05-14,Monday
2018-05-15,Tuesday
2018-05-16,Wednesday
2018-05-17,Thursday
2018-05-18,Friday
2018-05-21,Monday
2018-05-23,Wednesday
2018-05-24,Thursday
2018-05-25,Friday
2018-05-28,Monday
2018-05-29,Tuesday
2018-05-30,Wednesday
2018-05-31,Thursday
2018-06-01,Friday
2018-06-04,Monday
2018-06-05,Tuesday
2018-06-07,Thursday
2018-06-08,Friday
2018-06-11,Monday
2018-06-12,Tuesday
2018-06-14,Thursday
2018-06-15,Friday
2018-06-18,Monday
2018-06-19,Tuesday
2018-06-20,Wednesday
2018-06-21,Thursday
2018-06-22,Friday
2018-06-25,Monday
2018-06-26,Tuesday
2018-06-27,Wednesday
2018-06-28,Thursday
2018-06-29,Friday
2018-07-02,Monday
2018-07-03,Tuesday
2018-07-04,Wednesday
2018-07-05,Thursday
2018-07-06,Friday
2018-07-09,Monday
2018-07-10,Tuesday
2018-07-11,Wednesday
2018-07-12,Thursday
2018-07-13,Friday
2018-07-16,Monday
2018-07-17,Tuesday
2018-07-18,Wednesday
2018-07-19,Thursday
2018-07-20,Friday
2018-07-23,Monday
2018-07-24,Tuesday
2018-07-25,Wednesday
2018-07-26,Thursday
2018-07-27,Friday
2018-07-30,Monday
2018-07-31,Tuesday
2018-08-01,Wednesday
2018-08-02,Thursday
2018-08-03,Friday
2018-08-06,Monday
2018-08-07,Tuesday
2018-08-08,Wednesday
2018-08-09,Thursday
2018-08-10,Friday
2018-08-13,Monday
2018-08-14,Tuesday
2018-08-16,Thursday
2018-08-17,Friday
2018-08-20,Monday
2018-08-21,Tuesday
2018-08-22,Wednesday
2018-08-23,Thursday
2018-08-24,Friday
2018-08-27,Monday
2018-08-28,Tuesday
2018-08-29,Wednesday
2018-08-30,Thursday
2018-08-31,Friday
2018-09-03,Monday
2018-09-04,Tuesday
2018-09-05,Wednesday
2018-09-06,Thursday
2018-09-07,Friday
2018-09-10,Monday
2018-09-11,Tuesday
2018-09-12,Wednesday
2018-09-13,Thursday
2018-09-14,Friday
2018-09-17,Monday
2018-09-18,Tuesday
2018-09-19,Wednesday
2018-09-20,Thursday
2018-09-21,Friday
2018-09-27,Thursday
2018-09-28,Friday
2018-10-01,Monday
2018-10-02,Tuesday
2018-10-04,Thursday
2018-10-05,Friday
2018-10-08,Monday
2018-10-10,Wednesday
2018-10-11,Thursday
2018-10-12,Friday
2018-10-15,Monday
2018-10-16,Tuesday
2018-10-17,Wednesday
2018-10-18,Thursday
2018-10-19,Friday
2018-10-22,Monday
2018-10-23,Tuesday
2018-10-24,Wednesday
2018-10-25,Thursday
2018-10-26,Friday
2018-10-29,Monday
2018-10-30,Tuesday
2018-10-31,Wednesday
2018-11-01,Thursday
2018-11-02,Friday
2018-11-05,Monday
2018-11-06,Tuesday
2018-11-07,Wednesday
2018-11-08,Thursday
2018-11-09,Friday
2018-11-12,Monday
2018-11-13,Tuesday
2018-11-14,Wednesday
2018-11-15,Thursday
2018-11-16,Friday
2018-11-19,Monday
2018-11-20,Tuesday
2018-11-21,Wednesday
2018-11-22,Thursday
2018-11-23,Friday
2018-11-26,Monday
2018-11-27,Tuesday
2018-11-28,Wednesday
2018-11-29,Thursday
2018-11-30,Friday
2018-12-03,Monday
2018-12-04,Tuesday
2018-12-05,Wednesday
2018-12-06,Thursday
2018-12-07,Friday
2018-12-10,Monday
2018-12-11,Tuesday
2018-12-12,Wednesday
2018-12-13,Thursday
2018-12-14,Friday
2018-12-17,Monday
2018-12-18,Tuesday
2018-12-19,Wednesday
2018-12-20,Thursday
2018-12-21,Friday
2018-12-24,Monday
2018-12-26,Wednesday
2018-12-27,Thursday
2018-12-28,Friday
2019-01-02,Wednesday
2019-01-03,Thursday
2019-01-04,Friday
2019-01-07,Monday
2019-01-08,Tuesday
2019-01-09,Wednesday
2019-01-10,Thursday
2019-01-11,Friday
2019-01-14,Monday
2019-01-15,Tuesday
2019-01-16,Wednesday
2019-01-17,Thursday
2019-01-18,Friday
2019-01-21,Monday
2019-01-22,Tuesday
2019-01-23,Wednesday
2019-01-24,Thursday
2019-01-25,Friday
2019-01-28,Monday
2019-01-29,Tuesday
2019-01-30,Wednesday
2019-01-31,Thursday
2019-02-01,Friday
2019-02-07,Thursday
2019-02-08,Friday
2019-02-11,Monday
2019-02-12,Tuesday
2019-02-13,Wednesday
2019-02-14,Thursday
2019-02-15,Friday
2019-02-18,Monday
2019-02-19,Tuesday
2019-02-20,Wednesday
2019-02-21,Thursday
2019-02-22,Friday
2019-02-25,Monday
2019-02-26,Tuesday
2019-02-27,Wednesday
2019-02-28,Thursday
2019-03-04,Monday
2019-03-05,Tuesday
2019-03-06,Wednesday
2019-03-07,Thursday
2019-03-08,Friday
2019-03-11,Monday
2019-03-12,Tuesday
2019-03-13,Wednesday
2019-03-14,Thursday
2019-03-15,Friday
2019-03-18,Monday
2019-03-19,Tuesday
2019-03-20,Wednesday
2019-03-21,Thursday
2019-03-22,Friday
2019-03-25,Monday
2019-03-26,Tuesday
2019-03-27,Wednesday
2019-03-28,Thursday
2019-03-29,Friday
2019-04-01,Monday
2019-04-02,Tuesday
2019-04-03,Wednesday
2019-04-04,Thursday
2019-04-05,Friday
2019-04-08,Monday
2019-04-09,Tuesday
2019-04-10,Wednesday
2019-04-11,Thursday
2019-04-12,Friday
2019-04-15,Monday
2019-04-16,Tuesday
2019-04-17,Wednesday
2019-04-18,Thursday
2019-04-19,Friday
2019-04-22,Monday
2019-04-23,Tuesday
2019-04-24,Wednesday
2019-04-25,Thursday
2019-04-26,Friday
2019-04-29,Monday
2019-04-30,Tuesday
2019-05-02,Thursday
2019-05-03,Friday
2019-05-07,Tuesday
2019-05-08,Wednesday
2019-05-09,Thursday
2019-05-10,Friday
2019-05-13,Monday
2019-05-14,Tuesday
2019-05-15,Wednesday
2019-05-16,Thursday
2019-05-17,Friday
2019-05-20,Monday
2019-05-21,Tuesday
2019-05-22,Wednesday
2019-05-23,Thursday
2019-05-24,Friday
2019-05-27,Monday
2019-05-28,Tuesday
2019-05-29,Wednesday
2019-05-30,Thursday
2019-05-31,Friday
2019-06-03,Monday
2019-06-04,Tuesday
2019-06-05,Wednesday
2019-06-07,Friday
2019-06-10,Monday
2019-06-11,Tuesday
2019-06-12,Wednesday
2019-06-13,Thursday
2019-06-14,Friday
2019-06-17,Monday
2019-06-18,Tuesday
2019-06-19,Wednesday
2019-06-20,Thursday
2019-06-21,Friday
2019-06-24,Monday
2019-06-25,Tuesday
2019-06-26,Wednesday
2019-06-27,Thursday
2019-06-28,Friday
2019-07-01,Monday
2019-07-02,Tuesday
2019-07-03,Wednesday
2019-07-04,Thursday
2019-07-05,Friday
2019-07-08,Monday
2019-07-09,Tuesday
2019-07-10,Wednesday
2019-07-11,Thursday
2019-07-12,Friday
2019-07-15,Monday
2019-07-16,Tuesday
2019-07-17,Wednesday
2019-07-18,Thursday
2019-07-19,Friday
2019-07-22,Monday
2019-07-23,Tuesday
2019-07-24,Wednesday
2019-07-25,Thursday
2019-07-26,Friday
2019-07-29,Monday
2019-07-30,Tuesday
2019-07-31,Wednesday
2019-08-01,Thursday
2019-08-02,Friday
2019-08-05,Monday
2019-08-06,Tuesday
2019-08-07,Wednesday
2019-08-08,Thursday
2019-08-09,Friday
2019-08-12,Monday
2019-08-13,Tuesday
2019-08-14,Wednesday
2019-08-16,Friday
2019-08-19,Monday
2019-08-20,Tuesday
2019-08-21,Wednesday
2019-08-22,Thursday
2019-08-23,Friday
2019-08-26,Monday
2019-08-27,Tuesday
2019-08-28,Wednesday
2019-08-29,Thursday
2019-08-30,Friday
2019-09-02,Monday
2019-09-03,Tuesday
2019-09-04,Wednesday
2019-09-05,Thursday
2019-09-06,Friday
2019-09-09,Monday
2019-09-10,Tuesday
2019-09-11,Wednesday
2019-09-16,Monday
2019-09-17,Tuesday
2019-09-18,Wednesday
2019-09-19,Thursday
2019-09-20,Friday
2019-09-23,Monday
2019-09-24,Tuesday
2019-09-25,Wednesday
2019-09-26,Thursday
2019-09-27,Friday
2019-09-30,Monday
2019-10-01,Tuesday
2019-10-02,Wednesday
2019-10-04,Friday
2019-10-07,Monday
2019-10-08,Tuesday
2019-10-10,Thursday
2019-10-11,Friday
2019-10-14,Monday
2019-10-15,Tuesday
2019-10-16,Wednesday
2019-10-17,Thursday
2019-10-18,Friday
2019-10-21,Monday
2019-10-22,Tuesday
2019-10-23,Wednesday
2019-10-24,Thursday
2019-10-25,Friday
2019-10-28,Monday
2019-10-29,Tuesday
2019-10-30,Wednesday
2019-10-31,Thursday
2019-11-01,Friday
2019-11-04,Monday
2019-11-05,Tuesday
2019-11-06,Wednesday
2019-11-07,Thursday
2019-11-08,Friday
2019-11-11,Monday
2019-11-12,Tuesday
2019-11-13,Wednesday
2019-11-14,Thursday
2019-11-15,Friday
2019-11-18,Monday
2019-11-19,Tuesday
2019-11-20,Wednesday
2019-11-21,Thursday
2019-11-22,Friday
2019-11-25,Monday
2019-11-26,Tuesday
2019-11-27,Wednesday
2019-11-28,Thursday
2019-11-29,Friday
2019-12-02,Monday
2019-12-03,Tuesday
2019-12-04,Wednesday
2019-12-05,Thursday
2019-12-06,Friday
2019-12-09,Monday
2019-12-10,Tuesday
2019-12-11,Wednesday
2019-12-12,Thursday
2019-12-13,Friday
2019-12-16,Monday
2019-12-17,Tuesday
2019-12-18,Wednesday
2019-12-19,Thursday
2019-12-20,Friday
2019-12-23,Monday
2019-12-24,Tuesday
2019-12-26,Thursday
2019-12-27,Friday
2019-12-30,Monday
2020-01-02,Thursday
2020-01-03,Friday
2020-01-06,Monday
2020-01-07,Tuesday
2020-01-08,Wednesday
2020-01-09,Thursday
2020-01-10,Friday
2020-01-13,Monday
2020-01-14,Tuesday
2020-01-15,Wednesday
2020-01-16,Thursday
2020-01-17,Friday
2020-01-20,Monday
2020-01-21,Tuesday
2020-01-22,Wednesday
2020-01-23,Thursday
2020-01-28,Tuesday
2020-01-29,Wednesday
2020-01-30,Thursday
2020-01-31,Friday
2020-02-03,Monday
2020-02-04,Tuesday
2020-02-05,Wednesday
2020-02-06,Thursday
2020-02-07,Friday
2020-02-10,Monday
2020-02-11,Tuesday
2020-02-12,Wednesday
2020-02-13,Thursday
2020-02-14,Friday
2020-02-17,Monday
2020-02-18,Tuesday
2020-02-19,Wednesday
2020-02-20,Thursday
2020-02-21,Friday
2020-02-24,Monday
2020-02-25,Tuesday
2020-02-26,Wednesday
2020-02-27,Thursday
2020-02-28,Friday
2020-03-02,Monday
2020-03-03,Tuesday
2020-03-04,Wednesday
2020-03-05,Thursday
2020-03-06,Friday
2020-03-09,Monday
2020-03-10,Tuesday
2020-03-11,Wednesday
2020-03-12,Thursday
2020-03-13,Friday
2020-03-16,Monday
2020-03-17,Tuesday
2020-03-18,Wednesday
2020-03-19,Thursday
2020-03-20,Friday
2020-03-23,Monday
2020-03-24,Tuesday
2020-03-25,Wednesday
2020-03-26,Thursday
2020-03-27,Friday
2020-03-30,Monday
2020-03-31,Tuesday
2020-04-01,Wednesday
2020-04-02,Thursday
2020-04-03,Friday
2020-04-06,Monday
2020-04-07,Tuesday
2020-04-08,Wednesday
2020-04-09,Thursday
2020-04-10,Friday
2020-04-13,Monday
2020-04-14,Tuesday
2020-04-16,Thursday
2020-04-17,Friday
2020-04-20,Monday
2020-04-21,Tuesday
2020-04-22,Wednesday
2020-04-23,Thursday
2020-04-24,Friday
2020-04-27,Monday
2020-04-28,Tuesday
2020-04-29,Wednesday
2020-05-04,Monday
2020-05-06,Wednesday
2020-05-07,Thursday
2020-05-08,Friday
2020-05-11,Monday
2020-05-12,Tuesday
2020-05-13,Wednesday
2020-05-14,Thursday
2020-05-15,Friday
2020-05-18,Monday
2020-05-19,Tuesday
2020-05-20,Wednesday
2020-05-21,Thursday
2020-05-22,Friday
2020-05-25,Monday
2020-05-26,Tuesday
2020-05-27,Wednesday
2020-05-28,Thursday
2020-05-29,Friday
2020-06-01,Monday
2020-06-02,Tuesday
2020-06-03,Wednesday
2020-06-04,Thursday
2020-06-05,Friday
2020-06-08,Monday
2020-06-09,Tuesday
2020-06-10,Wednesday
2020-06-11,Thursday
2020-06-12,Friday
2020-06-15,Monday
2020-06-16,Tuesday
2020-06-17,Wednesday
2020-06-18,Thursday
2020-06-19,Friday
2020-06-22,Monday
2020-06-23,Tuesday
2020-06-24,Wednesday
2020-06-25,Thursday
2020-06-26,Friday
2020-06-29,Monday
2020-06-30,Tuesday
2020-07-01,Wednesday
2020-07-02,Thursday
2020-07-03,Friday
2020-07-06,Monday
2020-07-07,Tuesday
2020-07-08,Wednesday
2020-07-09,Thursday
2020-07-10,Friday
2020-07-13,Monday
2020-07-14,Tuesday
2020-07-15,Wednesday
2020-07-16,Thursday
2020-07-17,Friday
2020-07-20,Monday
2020-07-21,Tuesday
2020-07-22,Wednesday
2020-07-23,Thursday
2020-07-24,Friday
2020-07-27,Monday
2020-07-28,Tuesday
2020-07-29,Wednesday
2020-07-30,Thursday
2020-07-31,Friday
2020-08-03,Monday
2020-08-04,Tuesday
2020-08-05,Wednesday
2020-08-06,Thursday
2020-08-07,Friday
2020-08-10,Monday
2020-08-11,Tuesday
2020-08-12,Wednesday
2020-08-13,Thursday
2020-08-14,Friday
2020-08-18,Tuesday
2020-08-19,Wednesday
2020-08-20,Thursday
2020-08-21,Friday
2020-08-24,Monday
2020-08-25,Tuesday
2020-08-26,Wednesday
2020-08-27,Thursday
2020-08-28,Friday
2020-08-31,Monday
2020-09-01,Tuesday
2020-09-02,Wednesday
2020-09-03,Thursday
2020-09-04,Friday
2020-09-07,Monday
2020-09-08,Tuesday
2020-09-09,Wednesday
2020-09-10,Thursday
2020-09-11,Friday
2020-09-14,Monday
2020-09-15,Tuesday
2020-09-16,Wednesday
2020-09-17,Thursday
2020-09-18,Friday
2020-09-21,Monday
2020-09-22,Tuesday
2020-09-23,Wednesday
2020-09-24,Thursday
2020-09-25,Friday
2020-09-28,Monday
2020-09-29,Tuesday
2020-10-05,Monday
2020-10-06,Tuesday
2020-10-07,Wednesday
2020-10-08,Thursday
2020-10-12,Monday
2020-10-13,Tuesday
2020-10-14,Wednesday
2020-10-15,Thursday
2020-10-16,Friday
2020-10-19,Monday
2020-10-20,Tuesday
2020-10-21,Wednesday
2020-10-22,Thursday
2020-10-23,Friday
2020-10-26,Monday
2020-10-27,Tuesday
2020-10-28,Wednesday
2020-10-29,Thursday
2020-10-30,Friday
2020-11-02,Monday
2020-11-03,Tuesday
2020-11-04,Wednesday
2020-11-05,Thursday
2020-11-06,Friday
2020-11-09,Monday
2020-11-10,Tuesday
2020-11-11,Wednesday
2020-11-12,Thursday
2020-11-13,Friday
2020-11-16,Monday
2020-11-17,Tuesday
2020-11-18,Wednesday
2020-11-19,Thursday
2020-11-20,Friday
2020-11-23,Monday
2020-11-24,Tuesday
2020-11-25,Wednesday
2020-11-26,Thursday
2020-11-27,Friday
2020-11-30,Monday
2020-12-01,Tuesday
2020-12-02,Wednesday
2020-12-03,Thursday
2020-12-04,Friday
2020-12-07,Monday
2020-12-08,Tuesday
2020-12-09,Wednesday
2020-12-10,Thursday
2020-12-11,Friday
2020-12-14,Monday
2020-12-15,Tuesday
2020-12-16,Wednesday
2020-12-17,Thursday
2020-12-18,Friday
2020-12-21,Monday
2020-12-22,Tuesday
2020-12-23,Wednesday
2020-12-24,Thursday
2020-12-28,Monday
2020-12-29,Tuesday
2020-12-30,Wednesday
2021-01-04,Monday
2021-01-05,Tuesday
2021-01-06,Wednesday
2021-01-07,Thursday
2021-01-08,Friday
2021-01-11,Monday
2021-01-12,Tuesday
2021-01-13,Wednesday
2021-01-14,Thursday
2021-01-15,Friday
2021-01-18,Monday
2021-01-19,Tuesday
2021-01-20,Wednesday
2021-01-21,Thursday
2021-01-22,Friday
2021-01-25,Monday
2021-01-26,Tuesday
2021-01-27,Wednesday
2021-01-28,Thursday
2021-01-29,Friday
2021-02-01,Monday
2021-02-02,Tuesday
2021-02-03,Wednesday
2021-02-04,Thursday
2021-02-05,Friday
2021-02-08,Monday
2021-02-09,Tuesday
2021-02-10,Wednesday
2021-02-15,Monday
2021-02-16,Tuesday
2021-02-17,Wednesday
2021-02-18,Thursday
2021-02-19,Friday
2021-02-22,Monday
2021-02-23,Tuesday
2021-02-24,Wednesday
2021-02-25,Thursday
2021-02-26,Friday
2021-03-02,Tuesday
2021-03-03,Wednesday
2021-03-04,Thursday
2021-03-05,Friday
2021-03-08,Monday
2021-03-09,Tuesday
2021-03-10,Wednesday
2021-03-11,Thursday
2021-03-12,Friday
2021-03-15,Monday
2021-03-16,Tuesday
2021-03-17,Wednesday
2021-03-18,Thursday
2021-03-19,Friday
2021-03-22,Monday
2021-03-23,Tuesday
2021-03-24,Wednesday
2021-03-25,Thursday
2021-03-26,Friday
2021-03-29,Monday
2021-03-30,Tuesday
